timestamp,dist_to_goal,bearing_error,min_obstacle_dist,v_cmd,w_cmd,is_tracking,is_visible
1767894882.599312,0.9703299044982552,0.16363714366380278,0.656,0.08,0.09411764705882353,1,1
1767894883.636327,0.9703299044982552,0.16363714366380278,0.656,0.08,0.09411764705882353,0,0
1767894884.6758313,0.9463270067965631,0.12643069308645738,0.728,0.08,0.07058823529411762,1,1
1767894885.7294233,0.878899088812643,0.07498393792902441,0.708,0.08,0.04705882352941171,1,1
1767894886.7421455,0.7882826774069909,-0.00019668623802032714,0.631,0.08,0.0,1,1
1767894887.8017013,0.7445630952007096,-0.04882483956874678,0.555,0.08,-0.02352941176470591,1,1
1767894888.8727694,0.6868197189301818,-0.11199049010525308,0.479,0.08,-0.07058823529411767,1,1
1767894889.9554548,0.6262249857275742,-0.12180497742233204,0.409,0.08,-0.07058823529411767,1,1
1767894891.0262303,0.5858575656079144,-0.09778166962103224,0.334,0.08,-0.04705882352941182,1,1
1767894891.9997382,0.5266011059235716,-0.11886584237032971,0.27,0.045714285714285714,-0.07058823529411767,1,1
1767894892.591274,0.4400964941680528,-0.08629690468142548,0.208,0.011428571428571429,-0.04705882352941182,1,1
1767894892.638033,0.41321171014874375,-0.09661168993328584,0.177,0.0,0.3,1,1
1767894892.686746,0.41916958592369197,-0.09275584671575929,0.16,0.0,0.3,1,1
1767894892.784722,0.4001734068775933,-0.07151116840080196,0.153,0.0,0.3,1,1
1767894892.849518,0.4001734068775933,-0.07151116840080196,0.153,0.0,0.3,1,1
1767894892.8965106,0.39805267796120375,-0.07065048454212625,0.153,0.0,0.3,1,1
1767894892.9527678,0.3956049289817941,-0.09634393960947304,0.153,0.0,0.3,1,1
1767894893.0194538,0.3954538339313329,-0.10502067499896908,0.153,0.0,0.3,1,1
1767894893.0887928,0.3953532476494982,-0.12285780607829538,0.153,0.0,0.3,1,1
1767894893.149271,0.3952277320614513,-0.1334555704613348,0.153,0.0,0.3,1,1
1767894893.2234485,0.39515274249370186,-0.16306130621234166,0.153,0.0,0.3,1,1
1767894893.284541,0.3951278066544034,-0.1815722300432422,0.153,0.0,0.3,1,1
1767894893.348724,0.3950034695617154,-0.19328164640849485,0.153,0.0,0.3,1,1
1767894893.4182959,0.3949291582293925,-0.22247355614324252,0.153,0.0,0.3,1,1
