timestamp,dist_to_goal,bearing_error,min_obstacle_dist,v_cmd,w_cmd,is_tracking,is_visible
1767890840.7266445,1.951694684524837,-0.07790443423921786,0.649,0.22,0.0,1,1
1767890841.0053685,1.951694684524837,-0.07790443423921786,0.649,0.22,0.0,1,1
1767890841.2706082,1.95934714166237,-0.07816520669690263,0.689,0.22,0.0,1,1
1767890841.5379653,1.9611735871411733,-0.07853520420156335,0.689,0.22,0.0,1,1
1767890841.8112597,1.9611483538571,-0.07805746824327457,0.686,0.22,0.0,1,1
1767890842.1021035,1.9544345277567492,-0.07841230985131534,0.685,0.22,0.0,1,1
1767890842.358459,1.9558663967077752,-0.07854774916867732,0.686,0.22,0.0,1,1
1767890842.6492388,1.9666592310522708,-0.07829085059947657,0.65,0.22,0.0,1,1
1767890842.9279318,1.9577755144215387,-0.07846991078506721,0.689,0.22,0.0,1,1
1767890843.1888566,1.957775514648218,-0.07806054756282935,0.689,0.22,0.0,1,1
1767890843.4742455,1.9526393564880036,-0.0784703914156631,0.687,0.22,0.0,1,1
1767890843.7333927,1.9580087359919476,-0.07812880036718951,0.659,0.22,0.0,1,1
1767890844.0011225,1.9697320109636294,-0.07868896779269749,0.687,0.22,0.0,1,1
1767890844.2570944,1.9651652567671376,-0.07809441761670911,0.687,0.22,0.0,1,1
1767890844.5180674,1.955740817785742,-0.07875511228874982,0.687,0.22,0.0,1,1
1767890844.800478,1.96396047343634,-0.07820978341668394,0.651,0.22,0.0,1,1
1767890845.0876176,1.9606081930976567,-0.07861189577114747,0.648,0.22,0.0,1,1
1767890845.3545933,1.9546307387085466,-0.07821784779961546,0.689,0.22,0.0,1,1
1767890845.6592247,1.9669145729861017,-0.07847951774647499,0.648,0.22,0.0,1,1
1767890845.920087,1.9540047685824526,-0.07833675828353671,0.646,0.22,0.0,1,1
1767890846.212105,1.9540047687025948,-0.07807139919010736,0.687,0.22,0.0,1,1
1767890846.4849796,1.9729883789049762,-0.0786441324593581,0.689,0.22,0.0,1,1
1767890846.784406,1.9542463564396026,-0.07855229708452832,0.656,0.22,0.0,1,1
1767890847.0652578,1.9660462227559836,-0.07793889070670255,0.639,0.22,0.0,1,1
1767890847.3550527,1.9709738033374082,-0.07854385282667982,0.644,0.22,0.0,1,1
1767890847.6426456,1.9554460228075132,-0.07847690836009798,0.654,0.22,0.0,1,1
1767890847.9237943,1.9740465089574049,-0.07817240803768152,0.629,0.22,0.0,1,1
1767890848.1987174,1.9645613949677967,-0.07870675136727899,0.687,0.22,0.0,1,1
1767890848.4774284,1.9554723077677558,-0.07799502631172883,0.63,0.22,0.0,1,1
1767890848.7632701,1.97104508853164,-0.07861111890668505,0.651,0.22,0.0,1,1
1767890849.0489664,1.957747750685772,-0.0783067354871703,0.649,0.22,0.0,1,1
1767890849.3244452,1.9561973875739103,-0.07824253837258498,0.629,0.22,0.0,1,1
1767890849.580746,1.9566257735044812,-0.07861610735754992,0.689,0.22,0.0,1,1
