timestamp,dist_to_goal,bearing_error,min_obstacle_dist,v_cmd,w_cmd,is_tracking,is_visible
1767893541.039299,1.166224370704032,-0.07811778922654496,0.538,0.08,-0.04705882352941182,1,1
1767893542.0129242,1.166224370704032,-0.07811778922654496,0.538,0.08,-0.04705882352941182,1,1
1767893543.0194523,1.1311313100587252,-0.07809865027299079,0.689,0.08,-0.04705882352941182,1,1
1767893543.9839664,1.0819828389431356,-0.05370090372492876,0.731,0.08,-0.2823529411764706,1,1
1767893544.9511616,1.0406446657607644,-0.0262340617517895,0.7,0.08,-0.02352941176470591,1,1
1767893545.9195206,1.1287092983119105,0.05800474475547616,0.669,0.08,0.023529411764705854,1,1
1767893546.9368272,1.051485973628908,0.23001401367092425,0.648,0.08,0.11764705882352933,1,1
1767893547.9825861,1.1787556513200816,0.22296249905923718,0.649,0.08,0.11764705882352933,1,1
1767893549.051845,1.088891881929515,0.1660332633794495,0.656,0.08,0.09411764705882353,1,1
1767893550.1287167,1.0401811337615863,0.12549599475546813,0.677,0.08,0.07058823529411762,1,1
1767893551.2014527,1.0477071272151794,0.006603728889878515,0.688,0.08,0.0,1,1
1767893552.291915,1.0541997842151247,-0.03593676517740309,0.715,0.08,-0.02352941176470591,1,1
1767893553.557277,1.0654593998450628,-0.11228287038961711,0.732,0.08,-0.07058823529411767,1,1
1767893554.8656597,1.0181758756263997,-0.1370610178583684,0.767,0.08,-0.07058823529411767,1,1
1767893556.129768,0.9879717919784418,-0.09079583545329963,0.807,0.08,0.09411764705882353,1,1
1767893557.3511662,0.8847537282454749,-0.01574714962738582,0.731,0.08,0.0,0,0
1767893558.5809913,1.0190448223968396,0.007414685700649907,0.665,0.08,0.0,1,1
1767893559.8687449,1.0524391024340338,-0.057326379435593995,0.605,0.08,-0.02352941176470591,1,1
1767893561.1590462,1.0592981426443633,-0.07299943984193068,0.536,0.08,-0.04705882352941182,1,1
1767893562.3876605,1.0776872103308783,-0.0870777625901218,0.481,0.08,-0.04705882352941182,1,1
1767893563.6065636,1.0505572468132323,-0.1440454318352033,0.428,0.08,-0.07058823529411767,1,1
1767893564.7810562,1.006657213360939,-0.17522985882945188,0.398,0.08,-0.09411764705882353,1,1
1767893565.9630725,0.9987846445153138,-0.17989225409424656,0.392,0.08,-0.09411764705882353,1,1
1767893567.094389,0.9531594380633176,-0.19111243263528593,0.374,0.08,-0.09411764705882353,1,1
1767893568.2332926,0.959133935678378,-0.18128322837820593,0.335,0.08,-0.09411764705882353,1,1
1767893569.3937457,0.9355151696364853,-0.18378474179507664,0.302,0.08,-0.09411764705882353,1,1
1767893570.5274343,0.8832711620735483,-0.17788799765463603,0.272,0.08,-0.09411764705882353,1,1
1767893571.7163804,0.8295607073079877,-0.2391932507042025,0.252,0.08,-0.11764705882352944,1,1
1767893572.9857862,0.8463483164201004,-0.36055280461500194,0.241,0.08,-0.18823529411764708,1,1
1767893574.2442577,0.8342304121914592,-0.4258501920550868,0.243,0.08,-0.23529411764705885,1,1
1767893575.5394862,0.7422264792698744,-0.30817488001246995,0.254,0.08,-0.1647058823529412,0,0
1767893576.8668756,0.6418985789032319,-0.08594389874865405,0.276,0.08,-0.04705882352941182,0,0
1767893578.0680943,0.7103989253890846,-0.3194063490534307,0.295,0.08,-0.1647058823529412,1,1
1767893579.3056235,0.7110948687191535,-0.43103020250543866,0.309,0.08,-0.23529411764705885,1,1
1767893580.5067315,0.6206343455002645,-0.3776000081517341,0.331,0.08,-0.21176470588235297,0,0
1767893581.6995523,0.6930505076002716,-0.2970988704050732,0.36,0.08,-0.1647058823529412,1,1
1767893582.8659585,0.6845763074445271,-0.22016185667833588,0.388,0.08,-0.11764705882352944,1,1
1767893584.0307937,0.6403226185613267,-0.2247942891250747,0.406,0.08,-0.11764705882352944,1,1
1767893585.2374163,0.6284830614306199,-0.24418013809957495,0.422,0.08,-0.14117647058823535,1,1
1767893586.3818874,0.7211973011013925,-0.38978335125531194,0.436,0.08,-0.21176470588235297,1,1
1767893587.5460653,0.6354706832860266,-0.30863763035807645,0.452,0.08,-0.18823529411764708,0,0
1767893588.6741068,0.5469701390345062,-0.1709663333946363,0.467,0.08,-0.09411764705882353,0,0
1767893589.7825098,0.8418698257997168,-0.3404371044693568,0.482,0.08,-0.18823529411764708,1,1
1767893590.891843,0.8988030782634417,-0.26774968365117413,0.491,0.08,-0.14117647058823535,1,1
1767893592.03366,0.9436512685439167,-0.18894868536317055,0.497,0.08,-0.09411764705882353,1,1
1767893593.2622323,0.8533685866182862,-0.023154488989630906,0.456,0.08,-0.02352941176470591,0,0
1767893594.484853,0.8126233710020441,0.11602781160320674,0.421,0.08,0.07058823529411762,1,1
1767893595.7109704,0.6947288076115546,0.14119849040770482,0.422,0.08,0.07058823529411762,1,1
1767893596.9079688,0.5691913990087576,0.10274489817193633,0.445,0.08,0.07058823529411762,1,1
1767893598.078597,0.5033231291083402,0.05049138717700741,0.502,0.08,0.023529411764705854,1,1
1767893599.2700846,0.40458307559949686,-0.024761765203494157,0.415,0.08,-0.21176470588235297,1,1
1767893600.4178543,0.3219568648361189,-0.07526870615461645,0.336,0.08,-0.18823529411764708,1,1
1767893601.583557,0.2355110746655297,0.004798499309404569,0.247,0.04,-0.3058823529411765,1,1
1767893602.5079188,0.13980474700056253,0.30047931449782483,0.168,0.011428571428571429,0.16470588235294115,0,0
