timestamp,dist_to_goal,bearing_error,min_obstacle_dist,v_cmd,w_cmd,is_tracking,is_visible
1767890251.3878443,1.3568079014214507,-0.026045539655493603,0.644,0.22,-0.13793103448275856,1,1
1767890252.046893,1.3568079014214507,-0.026045539655493603,0.644,0.22,-0.13793103448275856,1,1
1767890252.7192242,1.2343200679627835,-0.06250907671695162,0.642,0.22,-0.30344827586206896,1,1
1767890253.4267387,1.244530756073379,-0.7792652811515999,0.649,0.22,-0.8,1,1
1767890254.1577244,1.2253136122759969,-1.7092334348961549,0.618,0.22,-0.8,1,1
1767890254.8475204,1.2573306116037717,-2.5187456075448655,0.565,0.22,0.8,0,0
1767890255.558723,1.3055696560673171,-3.1259622664108413,0.502,0.22,0.8,0,0
1767890256.2202246,1.3597646429413255,2.653316545876884,0.474,0.22,0.8,0,0
1767890256.931144,1.4491963492656879,2.683570720188927,0.491,0.22,0.8,0,0
1767890257.5470884,1.5425046986418787,2.7065583528008434,0.527,0.22,0.30344827586206913,0,0
1767890258.181118,1.6235077175470503,2.732885443568115,0.573,0.22,0.02758620689655178,0,0
