timestamp,dist_to_goal,bearing_error,min_obstacle_dist,v_cmd,w_cmd,is_tracking,is_visible,goal_reached
1768074526.5568302,1.4764800639024673,-0.1952982768002562,0.98778784,0.25,-0.10588235294117643,1,1,0
1768074527.1454027,1.4764800639024673,-0.1952982768002562,0.98778784,0.25,-0.10588235294117643,1,1,0
1768074527.7097661,1.4448044529008532,-0.20435026224393346,0.9812183,0.25,-0.1411764705882353,0,0,0
1768074528.2676697,1.3140498306689823,-0.17045002951232388,0.98268586,0.25,-0.10588235294117643,1,1,0
1768074528.8227055,1.1709558506928295,-0.11795519462775747,0.9896469,0.25,-0.07058823529411762,1,1,0
1768074529.4008734,1.055821068475863,-0.09423901557943867,0.9842304,0.25,-0.07058823529411762,1,1,0
1768074529.9396071,0.9115658872300849,-0.051083780468765744,0.9902413,0.25,-0.03529411764705881,1,1,0
1768074530.5035822,0.8252470834980655,-0.11195854342162503,0.99260247,0.25,-0.07058823529411762,1,1,0
1768074531.0384126,0.6899299933587189,-0.10023106102129337,1.0209861,0.25,-0.07058823529411762,1,1,0
1768074531.6254313,0.6334827766765007,-0.23839519082842253,1.0571861,0.25,-0.2117647058823529,1,1,0
1768074529.7350037,0.592613269781675,-0.3785666496017873,1.0832253,0.25,-0.3529411764705882,1,1,0
1768074532.1502302,0.5564447313414296,-0.49628177098464,1.31697,0.25,-0.4588235294117647,0,0,0
1768074532.667218,0.5564447313414296,-0.49628177098464,1.31697,0.25,-0.4588235294117647,0,0,0
1768074533.170413,0.5564447313414296,-0.49628177098464,1.31697,0.25,-0.4588235294117647,0,0,0
1768074533.6659994,0.5489615002470951,-0.4973688068020203,1.31697,0.25,-0.4588235294117647,0,0,0
1768074534.1689768,0.5489615002470951,-0.4973688068020203,1.31697,0.25,-0.4588235294117647,0,0,0
1768074534.6744175,0.5414733706971483,-0.4963899568257213,1.31697,0.23214285714285712,-0.4588235294117647,0,0,0
1768074535.2190206,0.5339624580353329,-0.4882657500887413,1.3408886,0.23214285714285712,-0.4588235294117647,0,0,0
1768074535.7600107,0.46577158387956963,-0.40201470268129846,1.3408886,0.23214285714285712,-0.4235294117647059,0,0,0
1768074536.246851,0.3463063186887716,-0.24997585911249376,1.3685026,0.1607142857142857,-0.24705882352941178,0,0,0
1768074536.8060272,0.4022771532944019,-0.0909335249507468,1.4212383,0.125,-0.07058823529411762,1,1,0
1768074537.3415732,0.28351850010701213,0.13409629478047225,1.4557077,0.08928571428571427,0.10588235294117643,1,1,0
1768074537.886127,0.40012881610335976,0.280569264412583,1.4983346,0.07142857142857142,0.17647058823529416,1,1,0
1768074538.4698634,0.3422556283194971,0.3392005334864465,1.4709878,0.125,0.2823529411764706,1,1,0
1768074539.0823467,0.49661682581190597,0.25913770657586976,1.442715,0.21428571428571427,0.24705882352941178,1,1,0
1768074539.7059727,0.6583091602685006,0.11508123037589635,1.3959707,0.25,0.10588235294117643,1,1,0
1768074540.321288,0.5533191267027004,-0.057220802014223526,1.3261486,0.0,-0.03529411764705881,1,1,0
1768074540.952347,0.632981968855168,-0.23133258242622567,1.2990894,0.10714285714285714,-0.1411764705882353,1,1,0
1768074541.6537566,0.5253018001557535,-0.34636489287276706,1.2539681,0.25,-0.3529411764705882,1,1,0
1768074542.3073177,0.7126140837392759,-0.3018691368002312,1.1558694,0.25,-0.24705882352941178,1,1,0
1768074543.0099041,0.8392238436116888,-0.1960614789481816,1.098668,0.25,-0.1411764705882353,1,1,0
1768074543.7375424,0.6699798630678907,-0.016770354294808776,1.0960128,0.1607142857142857,0.0,1,1,0
1768074544.4395876,0.7076453267518377,0.14447891336987584,1.0914993,0.21428571428571427,0.10588235294117643,1,1,0
1768074545.1638784,0.7764232958799019,0.2530111628592062,1.0713633,0.21428571428571427,0.17647058823529416,1,1,0
1768074545.843894,0.6469639427363295,0.2610048882736893,1.0102892,0.23214285714285712,0.21176470588235297,1,1,0
1768074546.517393,0.6972330272535069,0.16899598396704363,0.99052995,0.25,0.14117647058823535,1,1,0
1768074547.2005503,0.7216874627234137,0.00944137802516698,0.96548194,0.25,0.0,1,1,0
1768074547.8795915,0.719882555551932,-0.18328753877948833,0.9633961,0.25,-0.1411764705882353,1,1,0
1768074548.5515807,0.5552776176534368,-0.29609630884844385,0.99631757,0.25,-0.2823529411764706,1,1,0
1768074549.2297015,0.5413331171612883,-0.4035485451428751,0.9855113,0.25,-0.388235294117647,1,1,0
