timestamp,dist_to_goal,bearing_error,min_obstacle_dist,v_cmd,w_cmd,is_tracking,is_visible
1767894598.8037698,1.0572483813993026,0.12583351189449174,0.881,0.08,0.07058823529411762,1,1
1767894599.8338192,1.0572483813993026,0.12583351189449174,0.881,0.08,0.07058823529411762,0,0
1767894600.8735197,1.024815621000341,0.09942313402397723,0.885,0.08,0.04705882352941171,1,1
1767894601.9041595,0.965779266260288,0.06439481561227645,0.796,0.08,0.023529411764705854,1,1
1767894602.9809287,0.8882007808868184,0.015727349858267514,0.711,0.08,0.0,1,1
1767894603.989181,0.8035849226901943,-0.016903469832361212,0.628,0.08,0.0,1,1
1767894605.0400271,0.7327054296150542,-0.03596944204094965,0.56,0.08,-0.02352941176470591,1,1
1767894606.0672681,0.651113180122104,-0.04618787537840352,0.48,0.08,-0.02352941176470591,1,1
1767894607.127177,0.6724906352230151,-0.06308881962993715,0.406,0.08,-0.02352941176470591,1,1
1767894608.2229438,0.7536309192304628,-0.14520976301855654,0.337,0.08,-0.07058823529411767,1,1
1767894609.3726811,0.6666267565118593,-0.13850317359571543,0.268,0.08,-0.07058823529411767,0,0
1767894610.5822673,0.5754161634118938,-0.10841525040779648,0.203,0.06285714285714286,-0.04705882352941182,0,0
1767894611.6171236,0.48048644969864257,-0.04385202452072527,0.154,0.03428571428571429,-0.02352941176470591,0,0
1767894612.5690198,0.40501398243950165,0.009955271041531464,0.494,0.08,0.0,0,0
1767894613.5207627,0.46398075883679835,-0.13452668996177441,0.453,0.08,-0.07058823529411767,1,1
1767894614.4285593,0.4381206948002778,0.008332654004286733,0.439,0.08,0.0,1,1
1767894615.5855243,0.3889523824122688,0.2551139099782216,0.403,0.08,0.023529411764705854,1,1
1767894616.821151,0.3266054597016002,0.5181268442813376,0.4,0.06857142857142857,0.3294117647058823,1,1
