timestamp,dist_to_goal,bearing_error,min_obstacle_dist,v_cmd,w_cmd,is_tracking,is_visible
1767892066.513247,0.46254441688059145,-0.12203201930204456,0.42,0.05,-0.07058823529411767,1,1
1767892067.4494808,0.46254441688059145,-0.12203201930204456,0.42,0.05,-0.07058823529411767,0,0
1767892068.4120271,0.44858274786190083,-0.10130504526045164,0.236,0.05,-0.04705882352941182,0,0
1767892069.4199505,0.40150431620417587,-0.05477751698978932,0.224,0.05,-0.02352941176470591,0,0
1767892070.4249592,0.35074937219563035,0.00989443117139431,0.249,0.05,0.0,0,0
1767892071.3936875,0.30165712732319966,0.028145262105403107,0.278,0.05,0.023529411764705854,0,0
1767892072.3608522,0.2515239868057375,0.05959310181349341,0.303,0.05,0.04705882352941171,0,0
1767892073.354605,0.20446267510397048,0.06068267767525812,0.323,0.05,0.04705882352941171,0,0
1767892074.3135788,0.1547428527921918,0.06281842148586027,0.367,0.05,0.04705882352941171,0,0
1767892075.2809603,0.12366472953463661,0.04740593731517026,0.374,0.05,0.04705882352941171,0,0
1767892076.2144365,0.12303267410766086,0.04724148359192945,0.389,0.05,0.04705882352941171,0,0
1767892077.179462,0.12295682494932503,0.046157862315786835,0.669,0.05,0.04705882352941171,0,0
1767892078.0755134,0.12295682494932503,0.04594447768749095,0.672,0.05,0.04705882352941171,0,0
1767892079.0993576,0.12295682494932503,0.044988896022451874,0.55,0.05,0.04705882352941171,0,0
1767892080.249159,0.12295682494932503,0.04498031295360423,0.603,0.05,0.04705882352941171,0,0
1767892081.4511526,0.12295682494932503,0.04465606368602611,0.674,0.028571428571428574,0.023529411764705854,0,0
1767892082.6613736,0.12295682494932503,0.04407265342296457,0.659,0.028571428571428574,0.023529411764705854,0,0
1767892083.8234048,0.12295682494932503,0.04398467696727609,0.608,0.05,0.04705882352941171,0,0
1767892084.950442,0.12295682494932503,0.043772722850454804,0.272,0.028571428571428574,0.023529411764705854,0,0
1767892086.1384752,0.12295682494932503,0.04369952834667064,0.266,0.028571428571428574,0.023529411764705854,0,0
1767892087.2303004,0.12295682494932503,0.04319884933055736,0.314,0.028571428571428574,0.023529411764705854,0,0
1767892088.3105786,0.12295682494932503,0.04249813712657784,0.308,0.03214285714285715,0.023529411764705854,0,0
1767892089.453577,0.12295682494932503,0.042066837916983124,0.64,0.03214285714285715,0.023529411764705854,0,0
1767892090.5758994,0.12295682494932503,0.04177882827342842,0.23,0.03571428571428572,0.023529411764705854,0,0
1767892091.7511473,0.12295682494932503,0.04150130904735422,0.673,0.03928571428571429,0.023529411764705854,0,0
1767892092.8235111,0.12295682494932503,0.04092004455150461,0.569,0.03928571428571429,0.023529411764705854,0,0
1767892093.9363286,0.12295682494932503,0.040260817180288816,0.653,0.03928571428571429,0.023529411764705854,0,0
1767892095.050854,0.12295682494932503,0.039879824290884505,0.672,0.03928571428571429,0.023529411764705854,0,0
1767892096.1725543,0.12295682494932503,0.03939011252940988,0.662,0.03928571428571429,0.023529411764705854,0,0
1767892097.2813537,0.12295682494932503,0.03937056220592357,0.613,0.03928571428571429,0.023529411764705854,0,0
1767892098.4014752,0.8782299011100089,-0.039195261244672694,0.671,0.05,-0.02352941176470591,1,1
1767892099.551438,0.8456268303742863,-0.050754007667485876,0.655,0.05,-0.02352941176470591,1,1
1767892100.6028862,0.7439745011738346,-0.0901434857640361,0.507,0.05,-0.04705882352941182,1,1
1767892101.7290018,0.4856407704701703,-0.08848197953501,0.507,0.05,-0.04705882352941182,1,1
1767892102.8043084,0.48218171510320645,-0.08306549144489159,0.493,0.05,-0.11764705882352944,1,1
1767892103.957837,0.427730866364809,-0.04763006161356259,0.653,0.05,-0.02352941176470591,0,0
1767892105.0271811,0.3763259213052433,0.025288270884122555,0.665,0.05,0.023529411764705854,0,0
1767892106.2004106,0.3246235794920696,0.1111477920891378,0.729,0.05,0.07058823529411762,0,0
1767892107.3682115,0.2650988068928408,0.14714383717031054,0.168,0.05,0.09411764705882353,0,0
1767892108.4642324,0.20911756983372756,0.12275964158697006,0.656,0.04285714285714286,0.07058823529411762,0,0
1767892109.596152,0.15371381456303512,0.07391010881652271,0.619,0.03928571428571429,0.04705882352941171,0,0
1767892110.642398,0.12609126060059261,0.034820701560572986,0.578,0.04285714285714286,0.023529411764705854,0,0
1767892111.7118542,0.12604066905101075,0.03384719173537684,0.575,0.04285714285714286,0.023529411764705854,0,0
